Time_(Ps),ROG_(nm)
5340,1.85454
5350,1.85634
5360,1.83939
5370,1.85026
5380,1.84873
5390,1.85289
5400,1.85498
5410,1.86072
5420,1.84959
5430,1.85753
5440,1.85184
5450,1.85033
5460,1.85326
5470,1.84747
5480,1.84825
5490,1.84313
5500,1.84978
5510,1.8557
5520,1.84682
5530,1.84761
5540,1.85252
5550,1.85416
5560,1.85998
5570,1.86077
5580,1.85324
5590,1.85078
5600,1.85558
5610,1.85926
5620,1.86569
5630,1.85448
5640,1.8571
5650,1.8556
5660,1.85781
5670,1.84621
5680,1.85173
5690,1.85008
5700,1.84831
5710,1.84988
5720,1.84926
5730,1.85016
5740,1.85396
5750,1.85944
5760,1.85826
5770,1.85569
5780,1.86381
5790,1.85405
5800,1.85662
5810,1.85931
5820,1.86075
5830,1.85475
5840,1.85987
5850,1.85085
5860,1.86097
5870,1.86647
5880,1.8669
5890,1.86228
5900,1.86102
5910,1.8574
5920,1.86258
5930,1.85652
5940,1.85633
5950,1.85663
5960,1.85089
5970,1.85745
5980,1.85536
5990,1.85334
6000,1.85871
6010,1.84821
6020,1.84989
6030,1.85065
6040,1.8523
6050,1.85833
6060,1.85042
6070,1.8711
6080,1.85558
6090,1.86703
6100,1.8622
6110,1.85461
6120,1.85038
6130,1.8479
6140,1.85701
6150,1.85873
6160,1.86621
6170,1.86183
6180,1.86518
6190,1.87033
6200,1.86307
6210,1.86718
6220,1.86386
6230,1.85604
6240,1.86071
6250,1.85508
6260,1.86629
6270,1.86487
6280,1.86085
6290,1.86007
6300,1.85624
6310,1.87089
6320,1.85238
6330,1.86463
6340,1.85939
6350,1.8559
6360,1.85334
6370,1.86416
6380,1.86685
6390,1.87853
6400,1.86611
6410,1.86735
6420,1.86396
6430,1.86586
6440,1.87144
6450,1.86757
6460,1.87267
6470,1.87181
6480,1.85536
6490,1.8581
6500,1.8597
6510,1.86609
6520,1.86233
6530,1.86654
6540,1.86655
6550,1.85899
6560,1.85877
6570,1.8642
6580,1.86065
6590,1.86764
6600,1.85842
6610,1.86173
6620,1.86331
6630,1.85763
6640,1.86752
6650,1.87695
6660,1.86793
6670,1.87504
6680,1.87538
6690,1.87382
6700,1.8831
6710,1.87632
6720,1.88305
6730,1.88726
6740,1.87648
6750,1.89091
6760,1.88569
6770,1.88352
6780,1.88326
6790,1.87043
6800,1.87839
6810,1.87703
6820,1.87771
6830,1.87991
6840,1.86496
6850,1.8755
6860,1.86523
6870,1.87418
6880,1.86722
6890,1.86977
6900,1.87637
6910,1.86966
6920,1.86928
6930,1.8804
6940,1.86894
6950,1.86045
6960,1.85285
6970,1.85976
6980,1.85803
6990,1.85373
7000,1.87332
7010,1.8678
7020,1.86381
7030,1.87331
7040,1.875
7050,1.8721
7060,1.86758
7070,1.87068
7080,1.86437
7090,1.8654
7100,1.86895
7110,1.86708
7120,1.8707
7130,1.8637
7140,1.86189
7150,1.86562
7160,1.86999
7170,1.8611
7180,1.8663
7190,1.87027
7200,1.86802
7210,1.86815
7220,1.86789
7230,1.86184
7240,1.86017
7250,1.85967
7260,1.85976
7270,1.86547
7280,1.85731
7290,1.86252
7300,1.86579
7310,1.86951
7320,1.87209
7330,1.86731
7340,1.87599
7350,1.87067
7360,1.86626
7370,1.87736
7380,1.86783
7390,1.87614
7400,1.86277
7410,1.86216
7420,1.85429
7430,1.85945
7440,1.861
7450,1.85672
7460,1.85765
7470,1.85493
7480,1.85607
7490,1.86199
7500,1.85154
7510,1.85851
7520,1.85084
7530,1.85556
7540,1.85433
7550,1.86208
7560,1.86212
7570,1.8523
7580,1.85853
7590,1.86003
7600,1.85683
7610,1.86753
7620,1.86678
7630,1.86301
7640,1.8742
7650,1.8673
7660,1.85946
7670,1.85798
7680,1.85933
7690,1.86604
7700,1.86619
7710,1.86145
7720,1.8594
7730,1.86352
7740,1.86169
7750,1.85795
7760,1.85209
7770,1.86133
7780,1.86454
7790,1.86624
7800,1.86679
7810,1.86395
7820,1.86434
7830,1.86697
7840,1.87227
7850,1.86831
7860,1.86536
7870,1.86773
7880,1.86523
7890,1.87126
7900,1.86687
7910,1.86081
7920,1.87083
7930,1.87738
7940,1.8649
7950,1.86713
7960,1.87265
7970,1.87614
7980,1.88288
7990,1.86876
8000,1.87057
8010,1.87141
8020,1.87538
8030,1.86972
8040,1.87072
8050,1.86989
8060,1.8794
8070,1.88432
8080,1.88444
8090,1.87635
8100,1.87654
8110,1.87053
8120,1.87297
8130,1.86426
8140,1.86527
8150,1.87454
8160,1.87482
8170,1.87819
8180,1.87623
8190,1.8726
8200,1.86916
8210,1.87322
8220,1.8692
8230,1.87652
8240,1.87236
8250,1.87021
8260,1.88169
8270,1.86777
8280,1.8732
8290,1.87052
8300,1.87308
8310,1.87632
8320,1.86632
8330,1.87393
8340,1.87683
8350,1.87338
8360,1.86368
8370,1.87618
8380,1.87651
8390,1.86929
8400,1.86466
8410,1.86822
8420,1.86389
8430,1.86077
8440,1.85898
8450,1.86555
8460,1.87099
8470,1.87793
8480,1.86494
8490,1.86551
8500,1.87172
8510,1.87212
8520,1.86787
8530,1.86813
8540,1.8738
8550,1.87394
8560,1.87062
8570,1.86926
8580,1.87057
8590,1.86849
8600,1.87369
8610,1.87027
8620,1.8682
8630,1.87906
8640,1.86531
8650,1.87697
8660,1.86797
8670,1.87058
8680,1.8704
8690,1.86559
8700,1.86822
8710,1.87138
8720,1.86157
8730,1.85447
8740,1.84608
8750,1.85536
8760,1.85908
8770,1.85464
8780,1.85885
8790,1.85478
8800,1.85939
8810,1.83895
8820,1.8379
8830,1.85595
8840,1.86856
8850,1.85877
8860,1.8498
8870,1.85743
8880,1.86564
8890,1.86103
8900,1.87104
8910,1.86527
8920,1.8732
8930,1.86488
8940,1.86876
8950,1.86603
8960,1.86736
8970,1.87067
8980,1.86827
8990,1.87122
9000,1.86941
9010,1.87536
9020,1.87276
9030,1.86731
9040,1.87982
9050,1.87436
9060,1.88077
9070,1.86364
9080,1.87714
9090,1.86802
9100,1.86379
9110,1.86704
9120,1.87199
9130,1.87537
9140,1.87542
9150,1.87402
9160,1.87476
9170,1.86723
9180,1.87492
9190,1.87145
9200,1.87339
9210,1.87042
9220,1.87244
9230,1.86161
9240,1.87415
9250,1.87345
9260,1.86943
9270,1.86686
9280,1.86371
9290,1.872
9300,1.87115
9310,1.86992
9320,1.86689
9330,1.86952
9340,1.87306
9350,1.86862
9360,1.8763
9370,1.86981
9380,1.87124
9390,1.86997
9400,1.85866
9410,1.87541
9420,1.86516
9430,1.86304
9440,1.85788
9450,1.85722
9460,1.86932
9470,1.87201
9480,1.86391
9490,1.86686
9500,1.86395
9510,1.87261
9520,1.86811
9530,1.87872
9540,1.86528
9550,1.87266
9560,1.86786
9570,1.87575
9580,1.86682
9590,1.87024
9600,1.86907
9610,1.86842
9620,1.87111
9630,1.86366
9640,1.87059
9650,1.86185
9660,1.87091
9670,1.86763
9680,1.86988
9690,1.86925
9700,1.87208
9710,1.8783
9720,1.87655
9730,1.87524
9740,1.87676
9750,1.87405
9760,1.871
9770,1.86524
9780,1.87628
9790,1.86683
9800,1.87011
9810,1.87899
9820,1.8752
9830,1.8801
9840,1.87629
9850,1.8666
9860,1.87561
9870,1.87674
9880,1.86635
9890,1.86754
9900,1.87484
9910,1.87169
9920,1.87147
9930,1.86463
9940,1.8682
9950,1.8792
9960,1.88469
9970,1.87063
9980,1.87408
9990,1.86837
10000,1.88239
10010,1.87416
10020,1.86762
10030,1.87458
10040,1.86816
10050,1.87438
10060,1.87277
10070,1.86636
10080,1.86863
10090,1.86801
10100,1.8662
10110,1.87288
10120,1.87347
10130,1.87731
10140,1.87352
10150,1.87646
10160,1.87175
10170,1.8756
10180,1.87346
10190,1.87576
10200,1.87539
10210,1.88252
10220,1.88052
10230,1.8716
10240,1.87505
10250,1.8773
10260,1.88356
10270,1.87747
10280,1.88005
10290,1.87418
10300,1.87903
10310,1.87388
10320,1.8798
10330,1.88432
10340,1.8857
10350,1.88603
10360,1.88204
10370,1.88079
10380,1.88372
10390,1.87788
10400,1.88555
10410,1.88472
10420,1.88139
10430,1.88387
10440,1.88549
10450,1.87747
10460,1.87412
10470,1.88175
10480,1.87356
10490,1.88091
10500,1.87937
