Time_(Ps),ROG_(nm)
9360,1.85501
9370,1.85866
9380,1.85186
9390,1.85496
9400,1.85398
9410,1.85047
9420,1.8563
9430,1.85687
9440,1.85973
9450,1.85885
9460,1.85403
9470,1.85648
9480,1.85948
9490,1.85843
9500,1.86142
9510,1.85921
9520,1.86147
9530,1.86152
9540,1.8653
9550,1.86605
9560,1.86371
9570,1.86068
9580,1.86578
9590,1.85812
9600,1.85516
9610,1.85866
9620,1.85721
9630,1.85929
9640,1.86256
9650,1.86026
9660,1.85815
9670,1.85818
9680,1.85493
9690,1.86112
9700,1.85164
9710,1.86003
9720,1.85495
9730,1.85585
9740,1.85465
9750,1.853
9760,1.84755
9770,1.85201
9780,1.85117
9790,1.84977
9800,1.84168
9810,1.85063
9820,1.85045
9830,1.85276
9840,1.855
9850,1.85288
9860,1.8575
9870,1.85692
9880,1.85363
9890,1.85554
9900,1.85418
9910,1.85399
9920,1.85274
9930,1.84279
9940,1.855
9950,1.84982
9960,1.84742
9970,1.84503
9980,1.85817
9990,1.85208
10000,1.83851
10010,1.84212
10020,1.84219
10030,1.84886
10040,1.84438
10050,1.85731
10060,1.85862
10070,1.86409
10080,1.85405
10090,1.86173
10100,1.86541
10110,1.86372
10120,1.86095
10130,1.85014
10140,1.85478
10150,1.85096
10160,1.85305
10170,1.86146
10180,1.85842
10190,1.86348
10200,1.85462
10210,1.85422
10220,1.85788
10230,1.86963
10240,1.86027
10250,1.85783
10260,1.85147
10270,1.86193
10280,1.85573
10290,1.86475
10300,1.85946
10310,1.86309
10320,1.85842
10330,1.86135
10340,1.87066
10350,1.85761
10360,1.8604
10370,1.86513
10380,1.86665
10390,1.85095
10400,1.86315
10410,1.85807
10420,1.85827
10430,1.85617
10440,1.86683
10450,1.86123
10460,1.86128
10470,1.86764
10480,1.86119
10490,1.86884
10500,1.85641
10510,1.86251
10520,1.86032
10530,1.85893
10540,1.86092
10550,1.86313
10560,1.86265
10570,1.86286
10580,1.86567
10590,1.87278
10600,1.86362
10610,1.86158
10620,1.87408
10630,1.86653
10640,1.87082
10650,1.86907
10660,1.87308
10670,1.86801
10680,1.87364
10690,1.87921
10700,1.86769
10710,1.86928
10720,1.87247
10730,1.8806
10740,1.88197
10750,1.87737
10760,1.87518
10770,1.87069
10780,1.87885
10790,1.87246
10800,1.8655
10810,1.87751
10820,1.86306
10830,1.86959
10840,1.86262
10850,1.8664
10860,1.85371
10870,1.87042
10880,1.86035
10890,1.85346
10900,1.85401
10910,1.85477
10920,1.85783
10930,1.85007
10940,1.85308
10950,1.85506
10960,1.85942
10970,1.85268
10980,1.84704
10990,1.8597
11000,1.85941
11010,1.85444
11020,1.84974
11030,1.84906
11040,1.84863
11050,1.8471
11060,1.85306
11070,1.85486
11080,1.84454
11090,1.84748
11100,1.84366
11110,1.8584
11120,1.8468
11130,1.84979
