Time_(Ps),ROG_(nm)
15660,1.87496
15670,1.86541
15680,1.87592
15690,1.86708
15700,1.87936
15710,1.87686
15720,1.87299
15730,1.87296
15740,1.87662
15750,1.86347
15760,1.87195
15770,1.87396
15780,1.86591
15790,1.87259
15800,1.86969
15810,1.87197
15820,1.8698
15830,1.87018
15840,1.87283
15850,1.86104
15860,1.87103
15870,1.87712
15880,1.86579
15890,1.87824
15900,1.87681
15910,1.87724
15920,1.87987
15930,1.86875
15940,1.88442
15950,1.87886
15960,1.87374
15970,1.87778
15980,1.87035
15990,1.86761
16000,1.87055
16010,1.87542
16020,1.86665
16030,1.87989
16040,1.86713
16050,1.86387
16060,1.87346
16070,1.87396
16080,1.87001
16090,1.86129
16100,1.86589
16110,1.87858
16120,1.87529
16130,1.88221
16140,1.87361
16150,1.87611
16160,1.86659
16170,1.87563
16180,1.86604
16190,1.87459
16200,1.86635
16210,1.86939
16220,1.87104
16230,1.87125
16240,1.87852
16250,1.87247
16260,1.8696
16270,1.87063
16280,1.87095
16290,1.87548
16300,1.87683
16310,1.86625
16320,1.87855
16330,1.87082
16340,1.87011
16350,1.87648
16360,1.87575
16370,1.87377
16380,1.87893
16390,1.87279
16400,1.86752
16410,1.87563
16420,1.87129
16430,1.88314
16440,1.87729
16450,1.88292
16460,1.87358
16470,1.87705
16480,1.86647
16490,1.87131
16500,1.87447
16510,1.87055
16520,1.87174
16530,1.87367
16540,1.87295
16550,1.87182
16560,1.86579
16570,1.86999
16580,1.86685
16590,1.86703
16600,1.87145
16610,1.86845
16620,1.86937
16630,1.86848
16640,1.86826
16650,1.86927
16660,1.87269
16670,1.87913
16680,1.87836
16690,1.8813
16700,1.87993
16710,1.87349
16720,1.87182
16730,1.86641
16740,1.86935
16750,1.87441
16760,1.87383
16770,1.876
16780,1.87643
16790,1.88009
16800,1.87887
16810,1.86735
16820,1.88502
16830,1.87506
16840,1.87386
16850,1.86991
16860,1.86887
16870,1.87224
16880,1.87689
16890,1.88252
16900,1.87783
16910,1.88534
16920,1.88178
16930,1.88407
16940,1.88369
16950,1.8869
16960,1.88494
16970,1.87927
16980,1.87528
16990,1.87924
17000,1.8898
17010,1.87614
17020,1.88476
17030,1.87735
17040,1.88258
17050,1.87719
17060,1.87571
17070,1.88718
17080,1.87297
17090,1.87481
17100,1.87503
17110,1.87644
17120,1.87838
17130,1.87372
17140,1.8729
17150,1.87827
17160,1.87875
17170,1.87695
17180,1.87258
17190,1.87923
17200,1.87391
17210,1.8806
17220,1.87578
17230,1.87442
17240,1.87159
17250,1.86949
17260,1.87407
17270,1.86764
17280,1.86337
17290,1.86897
17300,1.87317
17310,1.87276
17320,1.86917
17330,1.87509
17340,1.88013
17350,1.88141
17360,1.87576
17370,1.8829
17380,1.8763
17390,1.87405
17400,1.87778
17410,1.87579
17420,1.87092
17430,1.87639
17440,1.88202
17450,1.87496
17460,1.87885
17470,1.87503
17480,1.88548
17490,1.88417
17500,1.87819
17510,1.88856
17520,1.87926
17530,1.88108
17540,1.88765
17550,1.87648
17560,1.87991
17570,1.87935
